NTC1.1,NTC1,method1,NTC
CF01.1,CF01,method1,sample
CF02.1,CF02,method1,sample
CFN1.1,CFN1,method1,NEC
CF05.1,CF05,method1,sample
CF06.1,CF06,method1,sample
CF07.1,CF07,method1,sample
CF08.1,CF08,method1,sample
CF09.1,CF09,method1,sample
CF10.1,CF10,method1,sample
CF11.1,CF11,method1,sample
CF12.1,CF12,method1,sample
CFN2.1,CFN2,method1,NEC
CF01.2,CF01,method2,sample
CF02.2,CF02,method2,sample
CFN1.2,CFN1,method2,NEC
CF05.2,CF05,method2,sample
CF06.2,CF06,method2,sample
CF07.2,CF07,method2,sample
CF08.2,CF08,method2,sample
CF09.2,CF09,method2,sample
CF10.2,CF10,method2,sample
CF11.2,CF11,method2,sample
CF12.2,CF12,method2,sample
CFN2.2,CFN2,method2,NEC
CF01.3,CF01,method3,sample
CF02.3,CF02,method3,sample
CFN1.3,CFN1,method3,NEC
CF05.3,CF05,method3,sample
CF06.3,CF06,method3,sample
CF07.3,CF07,method3,sample
CF08.3,CF08,method3,sample
CF09.3,CF09,method3,sample
CF10.3,CF10,method3,sample
CF11.3,CF11,method3,sample
CF12.3,CF12,method3,sample
CFN2.3,CFN2,method3,NEC
NTC2.3,NTC2,NA,NTC
