"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_parapsilosis"
"ASV2","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_dubliniensis"
"ASV3","Fungi","Ascomycota","Unknown_p__Ascomycota","Unknown_p__Ascomycota","Unknown_p__Ascomycota","Unknown_p__Ascomycota","Unknown_p__Ascomycota"
"ASV4","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_albicans"
"ASV5","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_dermatitidis"
"ASV6","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Clavispora","Clavispora_lusitaniae"
"ASV7","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_fumigatus"
"ASV8","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_metapsilosis"
"ASV9","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Clavispora","Unknown_g__Clavispora"
"ASV10","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Tintelnotia","Tintelnotia_destructans"
"ASV11","Fungi","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis","Ciliophora","Unknown_g__Ciliophora"
"ASV12","Fungi","Unknown_k__Fungi","Unknown_k__Fungi","Unknown_k__Fungi","Unknown_k__Fungi","Unknown_k__Fungi","Unknown_k__Fungi"
"ASV23","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Unknown_o__Saccharomycetales","Unknown_o__Saccharomycetales","Unknown_o__Saccharomycetales"
"ASV24","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_conicus"
"ASV26","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Debaryomyces","Debaryomyces_hansenii"
"ASV29","Fungi","Basidiomycota","Agaricomycetes","Unknown_c__Agaricomycetes","Unknown_c__Agaricomycetes","Unknown_c__Agaricomycetes","Unknown_c__Agaricomycetes"
"ASV40","Fungi","Basidiomycota","Unknown_p__Basidiomycota","Unknown_p__Basidiomycota","Unknown_p__Basidiomycota","Unknown_p__Basidiomycota","Unknown_p__Basidiomycota"
"ASV41","Fungi","Chytridiomycota","Unknown_p__Chytridiomycota","Unknown_p__Chytridiomycota","Unknown_p__Chytridiomycota","Unknown_p__Chytridiomycota","Unknown_p__Chytridiomycota"
"ASV88","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Irpicaceae","Ceriporia","Ceriporia_lacerata"
"ASV98","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Unknown_g__Filobasidium"
"ASV104","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus_neoformans"
"ASV110","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Unknown_o__Auriculariales","Unknown_o__Auriculariales","Unknown_o__Auriculariales"
"ASV134","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_solitum"
"ASV175","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_mucilaginosa"
"ASV201","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla_aquaeductuum"
"ASV206","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_roqueforti"
"ASV235","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Buckleyzymaceae","Buckleyzyma","Buckleyzyma_aurantiaca"
"ASV264","Fungi","Basidiomycota","Agaricomycetes","Russulales","Bondarzewiaceae","Heterobasidion","Unknown_g__Heterobasidion"
"ASV295","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella_tassiana"
"ASV319","Fungi","Ascomycota","Leotiomycetes","Phacidiales","Phacidiaceae","Gremmenia","Gremmenia_infestans"
"ASV328","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Unknown_g__Candida"
"ASV340","Fungi","Basidiomycota","Exobasidiomycetes","Unknown_c__Exobasidiomycetes","Unknown_c__Exobasidiomycetes","Unknown_c__Exobasidiomycetes","Unknown_c__Exobasidiomycetes"
"ASV386","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Unknown_f__Malasseziaceae","Unknown_f__Malasseziaceae"
"ASV396","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Phlebia","Phlebia_radiata"
